rows=1000
cols=1000
(0, 0, 3)
(0, 10, 7)
(1, 5, 2)
(2, 3, 8)
(3, 900, 15)
(4, 400, 4)
(5, 50, 9)
(6, 60, 5)
(7, 70, 13)
(8, 80, 7)
(9, 90, 9)
(10, 100, 12)
(11, 110, 11)
(12, 120, 6)
(13, 130, 14)
(14, 140, 8)
(15, 150, 10)
(16, 160, 5)
(17, 170, 15)
(18, 180, 4)
(19, 190, 3)
(20, 200, 10)
(21, 210, 12)
(22, 220, 9)
(23, 230, 11)
(24, 240, 7)
(25, 250, 4)
(26, 260, 8)
(27, 270, 12)
(28, 280, 10)
(29, 290, 6)
(30, 300, 11)
(31, 310, 13)
(32, 320, 7)
(33, 330, 8)
(34, 340, 14)
(35, 350, 10)
(36, 360, 12)
(37, 370, 9)
(38, 380, 14)
(39, 390, 8)
(40, 400, 12)
(41, 410, 10)
(42, 420, 14)
(43, 430, 9)
(44, 440, 11)
(45, 450, 15)
(46, 460, 13)
(47, 470, 12)
(48, 480, 7)
(49, 490, 14)
(50, 500, 6)
(51, 510, 10)
(52, 520, 11)
(53, 530, 8)
(54, 540, 9)
(55, 550, 7)
(56, 560, 13)
(57, 570, 14)
(58, 580, 16)
(59, 590, 18)
(60, 600, 19)
(61, 610, 11)
(62, 620, 12)
(63, 630, 9)
(64, 640, 14)
(65, 650, 7)
(66, 660, 12)
(67, 670, 10)
(68, 680, 6)
(69, 690, 15)
(70, 700, 14)
(71, 710, 8)
(72, 720, 9)
(73, 730, 15)
(74, 740, 12)
(75, 750, 16)
(76, 760, 13)
(77, 770, 11)
(78, 780, 14)
(79, 790, 10)
(80, 800, 12)
(81, 810, 11)
(82, 820, 9)
(83, 830, 8)
(84, 840, 10)
(85, 850, 7)
(86, 860, 12)
(87, 870, 9)
(88, 880, 11)
(89, 890, 14)
(90, 900, 13)
(91, 910, 7)
(92, 920, 15)
(93, 930, 12)
(94, 940, 9)
(95, 950, 11)
(96, 960, 10)
(97, 970, 13)
(98, 980, 7)
(99, 990, 8)
