rows=1000
cols=1000
(0, 0, 5)
(0, 10, 15)
(1, 5, 7)
(2, 3, 12)
(3, 900, 20)
(4, 400, 3)
(5, 50, 17)
(6, 60, 25)
(7, 70, 30)
(8, 80, 11)
(9, 90, 14)
(10, 100, 22)
(11, 110, 13)
(12, 120, 18)
(13, 130, 21)
(14, 140, 9)
(15, 150, 8)
(16, 160, 19)
(17, 170, 16)
(18, 180, 7)
(19, 190, 4)
(20, 200, 12)
(21, 210, 14)
(22, 220, 15)
(23, 230, 17)
(24, 240, 6)
(25, 250, 9)
(26, 260, 13)
(27, 270, 8)
(28, 280, 11)
(29, 290, 14)
(30, 300, 7)
(31, 310, 20)
(32, 320, 22)
(33, 330, 18)
(34, 340, 12)
(35, 350, 19)
(36, 360, 21)
(37, 370, 15)
(38, 380, 13)
(39, 390, 16)
(40, 400, 18)
(41, 410, 23)
(42, 420, 14)
(43, 430, 9)
(44, 440, 8)
(45, 450, 12)
(46, 460, 15)
(47, 470, 11)
(48, 480, 17)
(49, 490, 13)
(50, 500, 10)
(51, 510, 9)
(52, 520, 14)
(53, 530, 6)
(54, 540, 7)
(55, 550, 8)
(56, 560, 15)
(57, 570, 12)
(58, 580, 19)
(59, 590, 21)
(60, 600, 23)
(61, 610, 18)
(62, 620, 14)
(63, 630, 13)
(64, 640, 16)
(65, 650, 19)
(66, 660, 21)
(67, 670, 7)
(68, 680, 8)
(69, 690, 12)
(70, 700, 15)
(71, 710, 9)
(72, 720, 11)
(73, 730, 18)
(74, 740, 13)
(75, 750, 17)
(76, 760, 19)
(77, 770, 20)
(78, 780, 22)
(79, 790, 16)
(80, 800, 15)
(81, 810, 10)
(82, 820, 7)
(83, 830, 12)
(84, 840, 9)
(85, 850, 11)
(86, 860, 14)
(87, 870, 13)
(88, 880, 16)
(89, 890, 15)
(90, 900, 10)
(91, 910, 8)
(92, 920, 12)
(93, 930, 9)
(94, 940, 11)
(95, 950, 7)
(96, 960, 13)
(97, 970, 15)
(98, 980, 16)
(99, 990, 18)
